,index,ID,Description,HA
1265,1265,CELL0004,examine importance time oscillation situation central theme split circadian daily clock sleep look currently know clock mechanism objective achieve reading examine mechanism clock sleep detailed experimental evidence circadian timing mammalian clock mechanism drosophila clock mechanism clock entrainment photoperiod hibernation navigation neurobiology sleep sleep sleep option bioscience natural elective ibsc affiliate indicative general circadian timing mammalian clock circadian light detection drosophila clock mechanism clock unusual specie cave sleep geneticssleep neurobiologysleep healthseasonality photoperiodism,13
1266,1266,CELL0005,library ibsc bioscience wish depth area developmental detailed review primary conduct individual guidance area anatomy developmental evolution provisional title area approve organizer start staff developmental cdb physiology pharmacology npp division bioscience life approval organizer cdb departmental webpage individual particular previously pass satisfactory level specify current undertaken complement support depth knowledge chosen area independent reading original publish article book clear address answer particular chosen achieve independent search summarizes relevant publish experimental evidence critically appraises evidence reach independent conclusion opportunity powerpoint depend circumstance organizer leslie dale dale thomas hawkins thomas hawkins,13
1267,1267,CELL0006,library depth area developmental supervision address answer particular chosen developmental provisional title approve organizer start likely developmental cdb lmcb title negotiable division bioscience life approval organizer cdb departmental webpage potential lmcb mrc lmcb webpage individual particular previously pass satisfactory level specify current undertaken complement support depth knowledge chosen area conduct independent search summarize relevant publish experimental evidence critically appraise evidence reach independent conclusion possible short powerpoint small examiner depend circumstance organizer professor leslie dale dale julie pitcher julie pitcher,13
1268,1268,CELL0007,development significant aspect developmental half signal half developmental practicals permeability human development prepare advanced wish pursue integrative integrative signal regulation integrative biol development indicative organellescell membrane cytoskeletoncell cycle mitosiscell membrane traffickingcell signal ion channelselectrical signallingsignalling receptorsbasic principle embryonic development fertilisation cleavage gastrulation morphogenesis neurulation organogenesis metamorphosis fate differentiation tissuesstem,13
1269,1269,CELL0008,general eukaryotic prokaryotic signal virology membrane cellular organelle cytoskeleton signal division physiology bacterial basic principle virology majority teach comprise support moodle slide detailed feedback end fed delivery end basic prokaryotic eukaryotic affected virus prepare advanced wish pursue integrative integrative signal regulation integrative develop independent solve skill indicative vary signal bacterial virology expression dynamicscell migrationpoxvirus post entry event,13
1270,1270,CELL0009,broad related eukaryotic prepare specialise divide major theme structural functional anatomy eukaryotic experimental division cycle specialization differentiation important illustrate cellular process great semi fluorescence sample obtain type microscopy important discovery modern indicative topicsthe typical precise quiz change update development note specifically signal signal transduction detailed coverage area recommend combine signal registration independently permit leader organisation share professor geraint thomas thomas louise cramer cramer organelle intracellular compartmentalisation organelle biogenesis membrane traffic transport nucleus endoplasmic reticulum golgi apparatus lysosome peroxisomes mitochondrion secretory vesicle plasma membrane process endocytosis exocytosis membrane cytoskeleton microtubule microfilaments division cycle experimental tissue culture microscopy organism specialization differentiation multicellular life,13
1271,1271,CELL0010,strong principle cellular regulation cellular scale key mechanism orchestrate important cellular process wider signal serve vehicle discover fuse macroscopic concentrate property receptor relationship kinase small heterotrimeric messenger molecule enzyme generate recognition binding phosphoprotein messenger develop insight integration scale major signal pathway adrenalin insulin egf calcium fgf signal pathway process like energy metabolism developmental process immune indicative topicsthe typical precise change update development note specifically broad detailed coverage area recommend combine signal registration independently permit leader organisation share professor geraint thomas thomas louise cramer cramer property receptor relationship kinase small heterotrimeric messenger molecule enzyme generate recognition binding phosphoprotein messenger signal integration scale major signal pathway adrenalin insulin egf fgf signal pathway process like energy metabolism cancer tissue differentiation lymph,13
1272,1272,CELL0011,major area eukaryotic mechanistic basis signal transduction intermediate level specialise detailed aspect eukaryotic bioc scale mechanism orchestrate cellular process event begin broad eukaryotic introduces differs half detailed signal mechanism establishes fusion scale macroscopic run important illustrate cellular process great reading november dry lab semi spread piece online quiz support enhance wet dry component held reading february hand finish exploration undertake series exercise item compute work small explore property signal publish finding website indicative indicative precise change update development leader organisation share professor geraint thomas thomas louise cramer cramer mammalian culture propagation transfection foreign dnafluorescent visible light microscopythe deduction organisation signal pathway epigenetic elegans mutation cod signal proteinsthe basic signal molecule organelle intracellular compartmentalisation organelle biogenesis membrane traffic transport nucleus endoplasmic reticulum golgi apparatus lysosome peroxisomes mitochondrion secretory vesicle plasma membrane process endocytosis exocytosis membrane cytoskeleton microtubule microfilaments division cycle experimental tissue culture microscopy organism specialization differentiation multicellular life property receptor relationship kinase small heterotrimeric messenger molecule enzyme generate recognition binding phosphoprotein messenger signal integration scale major signal pathway adrenalin insulin egf fgf signal pathway process like energy metabolism cancer tissue differentiation lymph,13
1273,1273,CELL0012,date survey rapidly change fundamental principle practicality regenerative medicine basic differs tissue involve disease disorder age harness regenerate tissue challenge regenerative medicine face approach researcher overcome indicative couple organizer francesco saverio tedesco tedesco marc amoyel marc amoyel regenerative medicine reprogrammingstem nichesmuscle basic regenerative potentialstem ageingneural cellscancer human hematopoiesis single levelbone regeneration cellshaematopoietic therapy medicinesepithelial cellsdental cellssoft tissue engineeringretinal cellsnerve tissue engineeringethical aspect therapiesstem therapy immunodeficiency,13
1274,1274,CELL0013,depth coverage new animal nematode worm fruit fly zebrafish mouse refresher organism basic modern mapping advanced recombinant technology edit emerge optogenetics draw mainly recent primary emphasis place tackle basic principle development dissection disease simple exemplify methodology complex recent cut edge work researcher generally comprise illustrate modern cut edge manipulate option biomedical natural elective affiliate strong background useful indicative couple organizer richard poole poole prof jason rihel rihel forward reverse organism interpret interaction examine web interface mapping construct manipulation locus discover phenotype small moleculesedit crispr state art dna edit technology central dogma mendelian revisit modern menageriethe art forward screensfrom modern mapping screeningdrosophila developmental geneticsreverse customize mouse knockout knockins reverse modern edit talens crisprs hard chemist embrace geneticsbeyond modern menagerie functional specieshard embrace optogenetics,13
1275,1275,CELL0014,interaction place organism ecosystem scale complex dynamical lie heart key challenge opportunity develop investigate construct implement analyze interaction network python ecosystem disease dynamic regulation completion bioscience background little experience level math equivalent desirable python code reference drawn spectrum bioscience construct principle mass action enzymatic kinetics python library run simulation developed skill investigate steady state parameter scan phase space develop work spatial stochastic random process play important role interpret analyze result obtain,13
1276,1276,CELL0015,mitochondrial dysfunction emerge key mechanism pathophysiology disease present therapeutic fundamental mechanism regulate mitochondrial metabolism likely prove invaluable medicine future explore basic mechanism regulate mitochondrial metabolism health role mitochondrial dysfunction human disease metabolic syndrome neurodegenerative neurological disease cancer primary mitochondrial disease technical component ensure measurement interpret opportunity hand demonstration major technical approach metabolic suit master solid progression academia industry develop option bioscience natural elective affiliate strong background biochemistry indicative couple organizer professor michael duchen duchen professor gyorgy szabadkai szabadkai systematic knowledge current insight relate mitochondrial metabolic dysfunction human disease critical think skill evaluate strategy independent skill original solve skill mitochondrion origin eukaryotic cellenergy transformation mitochondrion redox balance oxidative quality control pathway traffic fission fusionmitochondrial quality control pathway biogenesis autophagybasic principle free radical mitochondrion source targetsmtdna replication regulation maintenance mtdna mutation human disease mitochondrial handlingnuclear encode mitochondrial mutation human diseasemitochondrial death pathway calcium signal death pathway necrosis ptpmitochondrial death pathway intermediary pathway deathmitochondria cancer death pathway cancermitochondria cancer metabolic pathway cancermitochondria sepsismitochondria ischaemia strokemitochondria ischaemia ischaemic heart diseasemitochondrial dysfunction neurodegenerative neurological diseaseare mitochondrion involve age diabetesmitochondria evolution sex uniparental inheritance germline influence fertility,13
1277,1277,CELL0016,concentrate key state art modern active researcher background cut edge primary knowledge particular emphasis modern approach allow monitoring dynamic cellular process contributor expert rapidly grow discipline super resolution microscopy membrane cytoskeletal dynamic expression living key modern relate related disease condition live key modern advantage limitation essential practicals confocal microscope attends small chance drive confocal microscope generate multicolour help comprises capture high resolution explain acquire step style nature news view article mini review suggest recent key critically evaluate chosen broader option bioscience natural elective affiliate indicative past couple phdintroduction confocal microscopysuper resolution microscopyactin intermediate filamentscell migration tissuesendocytosis lysosomal sortingcell mechanic divisionuse cytoskeleton control shigella infectioncellular senescencecalcium mobilize messengersnon cod rnasgenome organization functionchromatin regulation control transcription maintain statetranscription,13
1278,1278,CELL0017,good ground cellular power cross disciplinary contribution chemist microbiologist immunologist physicist solve discuss emphasis relationship scale complex level organisation balance interaction cellular explicitly recognises understanding branch bioscience virology microbiology health disease build supplement reinforce advanced phol signal health disease appeal strong interdisciplinary place appreciate comprehend broad remit consideration evidence acquire good broad knowledge principle modern knowledge enhance appreciation aspect life indicative list couple origin life bacteria archaea origin life eukaryote scar fibrosis mechanobiology disease stateuncovering hidden databasesdementia heart disease yeasthigh throughput probe egfr signallingimaging homeostasismodelling epitheliathe control tissue size shape cool,13
1279,1279,CELL0018,attend weekly series cdb lmcb addition attend series workshop cut edge schedule depend workload performance entirely news view type review experimental contribution potential contribution attend skill exchange workshop lmcb post doc phd lead workshop discuss technical new division indicative workshop listindicative series listhigh throughput tour resolution microscopyin vivo microscopy modellingelectron microscopycell signallingcell traffickinggrowth,13
1280,1280,CELL0019,comprises extend experience similar phd stream developmental stream offer developmental cdb division bioscience lmcb supervision original assess short proposal short lab meeting conference represent major component provision experienced tutor undertaking developmental cdb undertaking mrc lmcb ensures cohesive specialized approach place appropriate delivery experimental work discussion host possible investigative undertakes familiar general area staff host start extend collaborative realistic experience equip skill appropriate obtain phd place opportunity organizer julie pitcher julie pitcher professor leslie dale dale experiment test hypothesesanalyze experimental result appropriate techniqueskeep effective experimental recordstroubleshoot experiment experience technical difficultiespresent orally lab lab meeting wider community conferencewrite level suitable publication journal,13
1281,1281,CELL0020,work life increasingly interdisciplinary nature computation skill conduct environment skill computational network petri net mathematics simulation development accessible little prior experience perform network construct code reaction network library simulate investigate library demonstrate diverse set population dynamic biochemical reaction regulation synthetic expression end investigation experience skill finding code file simple library import prepare filter computational construct network toolbox simulate investigate plot library code produce publication quality figure,13
1282,1282,CENG0001,emy industrial placement experience directly relevant penultimate placement approve teach committee sure adequate identifiable supervision training host company adequate supervision home plan work related adequate level completion placement shall host company approval home pas fail,13
1283,1283,CENG0002,basic principle process completion synopsis knowledge basic process property basic process solve procedure definition processprocess modellingphysical quantity process variablesmaterial balance reactionssingle multi phase systemsenergy balancescombined mass energy balancesprocess safety,13
1284,1284,CENG0003,completion synopsis principle transport phenomenon treat momentum heat mass transfer single unified develop skill principle specification process equipment develop skill solve flow heat mass transfer mechanism momentum heat mass transfer motion convection knowledge property difference laminar turbulent flow pressure instrument measure pressure difference physical similarity experiment scale purpose calculate average value property macroscopic balance calculate property profile microscopic balance knowledge momentum heat mass transfer coefficient overall coefficient flow measure device nature transport process laminar turbulent flowfluid static pressure measurement buoyancydimensional similarity buckingham theoremconservation mass momentum energy bernoulli equationheat momentum mass transport laminar flow solidstransport turbulent flow characteristic turbulent flowmomentum heat mass transfer loss roughness fittingswhitman mass transfer,13
1285,1285,CENG0004,main principle classical thermodynamics operate process associate industry completion synopsis demonstrate knowledge essential fact principle thermodynamics knowledge appropriate arise thermodynamics wider multidisciplinary underlie thermodynamics real world problemsfundamentals basic definitionsfirst law energy enthalpy heat capacityequations statesecond law spontaneous change reversible irreversible workthermodynamic property fluidsthermodynamics compressor refrigeration systemsgas liquefaction power cyclesintroduction phase equilibriumfugacity activityintroduction solution thermodynamics,13
1286,1286,CENG0005,strong basis physical applicable wider area particular reaction process reference relate sustainable development completion synopsis basic fact atomic manifestation property material knowledge thermodynamic definition property estimation phase equilibrium kinetics principle experimental estimate kinetic parameter complex reaction systemsstate matter interactionaspects matter involve gas liquid solidsstate conversionenergy flow entropyatomic picture interaction reaction kinetics equilibriumkinetics mechanism gas phase reactionskinetics mechanism catalytic reactionsmaterial balance reactorstheories reaction ratescomplex,13
1287,1287,CENG0006,computational skill underpin emphasis integration computation completion synopsis knowledge strategy computational process simulation numerical solution simple set algebraic differential role computational building management process simulationbasic theoretical knowledge numerical nonlinear differential optimizationtools simulation,13
1288,1288,CENG0007,offer experience promote value locate realistic select scenario related material taught completion synopsis comprises scenario complement appropriate extend opportunity afford run pose challenge intend explore aspect cycle simulate real world scenario supplement material online material external source appropriate scenario comprise combination skill integration ethic management sustainability important designer support development skill organization development test material selection judgment relation environment society societal development perform simple sustainable process identify hazard inherently safe legal framework operates,13
1289,1289,CENG0008,completion expect synopsis consists experiment safety experimental experiment normally work reinforce material equipment experience equipment assembly operation disassembly promote safe approach work develop experimental teamwork communication skillsto familiar process equipment stir vessel packed tower pump familiar flow measure device measure flow rate familiar pressure measure device measure pressure difference assemble disassemble flow line run experiment collect appreciation calculate experimental error practise comparison present work orally poster know technical developed skill workingtransport property pump flowdimensional scale updrag coefficient spherespacked towersflowline assembly operationheat transfer,13
1290,1290,CENG0009,completion synopsis broad principle steady unsteady state heat transfer heat transfer phase change radiation heat transfer develop skill heat transfer equipment emphasis improve efficiency renewable energy source physical phenomenon present heat transfer process calculate estimate heat transfer coefficient familiar procedure heat transfer equipment pressure drop foul factor heat exchanger select appropriate heat exchanger meet heat transfer rate heat transfer areakey mechanism heat transfer conduction convection radiationfourier law conduction cylindrical spherical shellsderivation heat conduction transient multidimensional casesmethods solve transient heat conduction lump heat transfer coefficient force convection natural convection correlation heat transfer coefficientthermal radiation radiation transfer gasesevaporation boilingcondensation condensationheat exchanger condenser reboilers logarithmic mean temperature differencedirect contact gas solid exchanger,13
1291,1291,CENG0010,completion synopsis fundamental mass transfer drive force ideal stage mass transfer unit stage efficiency phase contact purpose mass transfer distillation absorption extraction principle separation process develop skill separation equipment sustainability sustainable development basic process simulationbe mass heat transfer phenomenon involve process familiar procedure separation equipment sustainability sustainable development select appropriate separation process meet separation performance simulate simple steady state process flowsheets mass transfer operationsestimation thermodynamic propertiesdesign analysisequipment column column process flowsheeting mass transfer simulation,13
1292,1292,CENG0011,completion synopsis particle formation process solid liquid separation process membrane separation chromatography particle technology principle particulate separation process related process develop skill separation equipment sustainability sustainable developmentbe mass heat transfer phenomenon involve particulate process related process familiar procedure separation equipment sustainability sustainable development select appropriate separation process meet separation particle technology charaterisation particle size shape size distribution flow packed bed porous fundamental humidification dehumidification cool dry estimation thermodynamic property methodology equipment,13
1293,1293,CENG0012,basic principle reactor reason underlie selection reactor type meet particular set process condition single phase completion synopsis fundamental reaction developed critical think approach reactor selection simple ideal reactor appreciate technical economic safety sustainability arise reactor designintroduction brief survey scope review mole balance definition reaction rate general mole balance batch plug flow continuous stir reactor industrial reactor conversion reactor size definition conversion batch flow reactor series space velocity space time rate law stoichiometry reaction rate reaction elementary reaction molecularity stoichiometric table isothermal reactor isothermal batch plug flow continuous stir reactor multiple reactor reversible reaction multiple reaction condition maximise yield selectivity parallel series reactionsnon isothermal reactor energy balance non isothermal plug flow continuous stir reactor equilibrium conversion steady state multiplicity,13
1294,1294,CENG0013,completion synopsis process bring element process detailed process phenomenon prepare develop skill computational optimisation entail new exist process simulation optimisation connection technology phenomenon overall process economics heuristic algorithmicheat exchanger network designcase reactor separation sequence recycles,13
1295,1295,CENG0014,theoretical basic inorganic molecule molecule react iii run reaction industrial scale completion synopsis atomic periodic table underlie bond role acid ion aqueous solution determine acidity calculate redox potential reaction basic principle electrochemical device identify energy efficiency familiar common element compound know compound reaction translate reaction industrial reactionatoms mass isotope structuresmolecules bond structuresacids ionsoxidation reductionelements map periodic table,13
1296,1296,CENG0015,basic principle reactor reason underlie selection reactor type meet particular set process condition reactor selection present discuss accounting safety sustainability completion expect synopsis simple ideal reactor appreciate technical economic safety sustainability arise reactor interaction transport phenomenon reaction biochemical catalytic reactorsintroduction brief survey scope review mole balance definition reaction rate general mole balance batch plug flow continuous stir reactor industrial reactor conversion reactor size definition conversion batch flow reactor series space velocity space time rate law stoichiometry reaction rate reaction elementary reaction molecularity stoichiometric table reaction phase change isothermal reactor isothermal batch plug flow continuous stir reactor multiple reactor pressure drop reactor reversible reaction non isothermal reactor energy balance non isothermal plug flow continuous stir reactor equilibrium conversion steady state multiplicity multiple reaction condition maximise yield selectivity parallel series reaction external diffusion effect heterogeneous reaction mass transfer fundamental binary diffusion external resistance mass transfer diffusion reaction porous catalyst diffusion reaction spherical pellet internal effectiveness factor falsify kinetics non ideal reactor parameter parameter,13
1297,1297,CENG0016,far develop test knowledge earlier processing plant sustainable meeting training appropriate computational develops transferable skill teamwork communication management completion expect synopsis creation process product plant meet identify serf open end process lack pre determine solution synthesis innovation creativity choice basis incomplete contradictory work constraint multiple objective justification choice importance identify objective business requirement technical requirement sustainable development safety health environmental appreciation public perception concern deploy knowledge rigorous calculation result arrive verify realism chosen approach appreciate complexity interaction integration work process peer challenge planning prioritise organise activity discipline mutual dependency communicate effectively acquire input present clearly concisely appropriate flowsheets stream explain defend chosen option takendevelop integrate approach encourage principle current future industrial relevance sustainable development safety environmental encourage develop demonstrate creative critical power choice area uncertainty encourage broad view confront complexity arise interaction integration process encourage development transferable skill communication work confidence technical knowledge real,13
1298,1298,CENG0017,process dynamic control control ensures safe smooth stable operation process plant sustainability sustainable development completion expect synopsis master level level version ceng strong unseen open end solve aware appreciation importance process control safe efficient economic sustainable operation process plant dynamic predict response change dynamic determine characteristic performance measurement control element control loop regard feedback complex type controller controller tune fundamental instrumentation control purposesmodelling dynamic typical process process block diagram represent associate control variable manipulate variable disturbance essential functionality feedback control loop circumstance potential benefit realise control functionality advanced complex plantwide control instrumentation control,13
1299,1299,CENG0018,advanced reactor principle phenomenon present multiphase catalytic reaction completion synopsis master level level version ceng strong unseen open end solve advanced reactor evaluate influence mass transfer hydrodynamics reactor performance advanced reactor combine analytical computational approach reactor critically evaluate phenomenon circumstance related level accuracy experience operation reactor nonisothermal reactor steady unsteady statemultiple reaction pfr cstrintroduction heterogeneous catalysismass transfer reaction heterogeneous catalytic reactionsdesign fix bed reactorsmass transfer reaction gas liquid gas liquid solid reactionsdesign gas liquid la liquid solid reactorsnonideal reactor residence time distribution,13
1300,1300,CENG0019,convey advanced solve area dynamic transport phenomenon mass momentum transport non newtonian flow mass transfer reaction completion expect synopsis master level level version ceng strong unseen open end solve mass momentum balance analyze simple flow interpret physical meaning transport estimate relative importance feature scale magnitude argument simplify transport attempt solve analyze involve diffusion mass momentum energy analyze turbulent flow simple approach aware non newtonian behavior analyze simple involve mass transfer reactionmass momentum balance eulerian lagrangian stress closurescaling transport magnitude analysispenetration diffusion mass momentum energy boundary layer theoryturbulent flow characteristic turbulent flow average transport reynolds stress closure mix length kolmogorov non newtonian shear shear thicken bingham mass transfer reaction penetration,13
1301,1301,CENG0020,advanced training hazard identification quantification mitigation risk management completion synopsis master level level version ceng strong unseen open end solve fully appreciate importance safety loss prevention process industry identify quantify hazard potential cause damage environment work force general population outside perimeter fence knowledge conceptual operation decommission process plantthe safety inherent process plant dealt procedure implementation discuss incident significant achieve change culture highlight formal present day requirement safety methodology establish necessary criterion implementation monitoring verification validation safety responsibility audit basic procedure hazard identification development hazid hazard operability hazop risk qra safety safety case development safety management role health safety executive key consequence arise gas accumulation dispersion explosion escalation smoke area classification transportation,13
1302,1302,CENG0021,organic elucidate property reaction carbon compound multitude link industrial process revise common molecule organic particular emphasis laid relate physical property mechanism pathway common raw material specialty product industry completion synopsis categorize molecule organic relate physical property radical alkene aromaticity consequence dye organic device common reaction pathway functional particular transformation reaction common raw material specialty product fundamental knowledge large scale process industrial relevance connect current organic identify adequate experimental characterisation compoundsstructure bonding organic alkynesaromatic compoundsalkyl halidesalcohols phenol ethersaldehydes ketonescarboxylic acid determination,13
1303,1303,CENG0022,sound overview fundamental principle assembly functionality completion synopsis key feature macromolecule principle material assembly formation process industry relate device architecture connect current connect interaction researchersmolecular oligomers polymer assembly intermolecular force surface interface assembly organisation machinessystem functionality biomedical environmental energy,13
1304,1304,CENG0023,advanced process operation management particular emphasis place process synthesis completion expect synopsis aware role optimisation plant operation management aware numerical solve continuous discrete optimisation formulate solve complex optimisation analytically computational aware process synthesis familiar toolapproaches process synthesis process optimisation simplex graphical non process optimisation optimality criterion condition optimum unconstrained optimisation constrain optimisation flowsheet optimisation discrete process solution discrete optimisation integer mixed integer mixed integer non process synthesis implicit enumeration algorithmic approach synthesis sustainable heat exchanger network process synthesis uncertainty flexibility,13
1305,1305,CENG0024,convey fundamental particle technology fluidization industrial scale unit sustainable development completion expect synopsis formulate particle technology fluidized bed reactor reasonable assumption phase nature gas solid fluidized bed basic feature reactor characteristic performance particle scale bed reactor impact process optimal operation bed industrial fundamental gas solid liquid solid particle interaction bed stability bubble dynamic particle mix segregation heat mass transfer elutriation scale rule mass transfer convection diffusion reaction porous catalytic fluidized bed reactor fluidized bed combustors new development innovation fluidized bed industry industrial biofuel production sustainable development,13
1306,1306,CENG0025,develop simulation skill complex process safety sustainable process plant development completion expect synopsis resource training advanced computational develop computational complex plant item simulation process inform process conflict miss safety sustainable process plant developmentprocess engineeringprocess modellingprocess designprocess optimisationdynamic analysismodel validation,13
1307,1307,CENG0026,broad conventional renewable energy advanced knowledge select emerge energy technology develop skill energy emphasis sustainability improve efficiency renewable energy source completion synopsis broad knowledge conventional renewable energy conversion technology enhance knowledge select advanced sustainable development energy familiar related technology barrier environmental impact energy economics energy efficiency energy cycle energy resource conventional fuel alternative fuel demand change pattern energy future energy scenario conventional energy conversion heat engine turbine nuclear fission heat transfer renewable energy hydro wave wind solar thermal photovoltaics biofuels nuclear fusion advanced fuel waste energy energy optimization energy sustainable future sustainability,13
1308,1308,CENG0027,present emphasis nano bio technology level understanding offer thermodynamics increase importance thermodynamics emphasize advance goal demonstrate level approximation physical world macroscopic thermodynamic derive approximation importance remember approximation assume develop familiar level simulation successfully synopsis predict phase equilibrium modern start classical thermodynamics depend intermolecular interaction discussion thermodynamics allow predict macroscopic property knowledge intermolecular interaction property mechanic framework modern monte carlo dynamic simulation demonstration result simulation enrich matter finally discussion thermodynamic useful advance limited assemble material process separation strategy energy storage relate taught classical thermodynamics intermolecular interaction recognize basic thermodynamics fundamental commonly simulation monte carlo dynamic employ simulation calculate macroscopic property intermolecular force relate level matter number modern,13
1309,1309,CENG0028,develop fundamental electrochemical explore real world processing electrochemical power source opportunity theoretical techno economic knowledge electrochemical technology completion synopsis electrochemical technology compare benefit electrochemical technology electrochemical phenomenon result explain evaluate electrochemical technology sound technical techno economic judgment develop experiment element electrochemistry electrochemical identify electrochemical technology construct toolbox produce solution ethical environmental dimension face engineersstandard potentialsthe govern faraday nernst butler volmerchlor alkali diagramsbatteries cad nimh lithium batteriesfuel pemfc sofcfuel electrolyserselectro catalysiscapacitors power sourcesmodelling electrochemical power sourcesadvanced electrochemical characterization,13
1310,1310,CENG0029,grow solution adopt nature solve similar distil fundamental cause desirable feature natural technological stimulate creative thought engage come innovative solution toolbox fresh pair eye successfully synopsis nature inspire nice powerful approach guide new process material energy energy efficiency production therapeutic illustrate empower fundamental principle achieve high performance efficiency scalability robustness come innovative approach solve challenge guidance natural ideally achieve high performance key nice approach cognizant technological look nature balance nature technology fundamental opportunity nature inspire nice approach fundamental principle borrow natural recognize situation nice approach bring new perform solution employ nice toolbox solve,13
1311,1311,CENG0030,process involve production material systematic approach selection material fabrication route biomedical coat fine food microelectronic semiconductor industry completion expect synopsis aware material recently developed material process essential material multiple scale molecule manufacturing fundamental principle transport phenomenon kinetics thermodynamics operation material process involve nanofabrication templating assemblyprocesses electronics industry epitaxial polycrystalline silicon productionsilicon vapour depositionphysical vapour deposition epitaxial polycrystalline silicon productionsilicon vapour depositionphysical vapour deposition soft matter fundamental lipid colloid polymer emulsion assembly processing templating,13
1312,1312,CENG0032,develop advanced skill undertaking individual critical survey experiment collection result conclusion recommendation clear concise manner level equivalent publish completion expect synopsis individual work supervision staff usually select aspect continue speciality normally undertakes survey experimental work discussion conclusion recommendation future work present thesis oral aware advanced applicable relevant demonstrate independent thought critical result developed skill result clear concise manner worthy publication present finding orally standard similar expect national international conference,13
1313,1313,CENG0033,extend knowledge separation process complex commonly industry develop completion synopsis principle complex separation process suggest select energy efficient sustainable operation alternative thereof asa thorough underlie physical phenomenon process work knowledge operation industrial separation unit work knowledge simulation applicable industrial separation unit skill propose energy efficient sustainable solution thermodynamics mass heat transfer phenomenon involve complex separation process familiar procedure complex separation equipment sustainability sustainable development select appropriate separation process meet separation performance conceptual complex separation process simple complex distillation column simulate complex separation process appropriate level detailextractive azeotropic distillationbatch controlprocess intensification divide wall column reactive hybrid distillationmulti component reactive absorptionadvanced chromatographic process cool evaporative crystallization,13
1314,1314,CENG0034,equip broad unit operation reactor separation pump cool heating plant cost plant impact construction plant operation process essential decide attain accreditation body icheme element financing prepare subsequent msc completion synopsis goal overview process typically implement transform natural gas extract ground valuable commodity element management economics optimization process control unit operation essential implementation natural gas processing plant process process package aspen plus formulate typical composition natural gas appraise unit operation render raw material commodity quantify finance regard plant evaluate explain possible complication process defend limitation trade offs plant commission appraise uncertainty risk connect vast capital investment process plant commercial softwarenatural gas fundamentalsbasic natural gas processinggas plant managementnatural gas treat dehydration denitrification natural gas compression plant automationdesign natural gas processing plantmaximizing profitability gas plant assetsgas processing operation,13
1315,1315,CENG0035,equip broad unit operation reactor separation pump cool heating plant process mineral plant produce energy mineral nuclear plant generate electricity expose dwindle natural resource developed far ample discussion regard safety expose interact completion synopsis overview impact mineral society extraction process unit operation typically adopt refining commercialization raw material element current usage international dependency natural resource extraction utilization economics typology mining operation unit operation essential mining industry economic process involve particular production aluminum relation mineral energy emphasis coal nuclear select mineral key technology nuclear power aluminum synthesis coal appraise unit operation critical mineral processing formulate important process aluminum manufacturing sample industrial process defend importance safetyminerals energy sector nuclear energythe nuclear plant energy productionmanagement nuclear energy plant construction operationan miningunit operation mining industry flotation smelt process relevance mining industryminerals energy sector coal oilaluminum production mining processesmining operation managementcase possibly trip,13
1316,1316,CENG0036,enable possible environmental consequence connect extraction utilization natural resource prevent consequence remediate place prevent environmental contamination basic process implement remediate exist contamination familiar societal concern related mining nuclear mineral industry general completion synopsis goal illustrate possible environmental consequence related extraction handle natural resource acid drainage sulfide oxidation related mining industry nuclear waste water activity related sub surface touch process environmental contamination measurement contamination prediction prevent contamination regulatory mining responsible manner process implement remediate contaminate area expert trip contribute appraise possible environmental consequence basic mineral operation remediation strategy common type environmental contamination argue physical element regard remediation strategy formulate importance legacy operation related natural resource appraise possible store nuclear wastenuclear waste managementacid drainage sulfide oxidationnatural acid rock generation drainage metal leach impact exploration mining reclamationsampling strategy acid drainage aquatic resourcesprevention arsenic mobilizationwater usage shale rock process water reclamationmine reclamation policy regulation select jurisdictionscase site visit,13
1317,1317,CENG0037,define portion prepares encompasses rationale undertaking choice allocation expectation resource develop skill produce robust thorough piece process opportunity previous piece construct executive summary allow demonstrate synthesize present format undertake australia evaluate learnt developed management natural resource particular future sustainability undertaken adelaide south australia individual summer period fundamental conduct embed adequate experience matter investigate new mineral flotation new process environmental remediation new business exist propose development closely supervise particular health safety number stage gate consult staff construction section help guide process objective present critically result oral oral examination test test fundamental achieve boundary wider boundary matter msc global management natural resource experience hand smelter steelworks offshore oil gas simulation facility associate process observe facilitieslearning completion tosynopsis goal bring fruition material plan execute result discus openly compare defend conclusion work time satisfactory completion skill projectresearch projectoral vivafield trip port pirie wyhalla onshore petroleum centre excellence training facility tonsleyformulate complex simpler task conduct appraise individual task judge individual result conduct review ass scale mining operation present result defend code conduct operate time commitment work,13
1318,1318,CENG0038,develop skill undertaking individual critical survey collection result conclusion recommendation completion expect synopsis consists individual select work supervision staff usually select aspect continue speciality normally undertakes survey experimental work good demonstrate plan independent work demonstrate solid evaluation discussion result developed skill result oral,13
1319,1319,CENG0039,abroad host institution relevant delivery determine host institution discus choice abroad tutor approve choice weight average grade gpa award host institution convert equivalent grade enter grade,13
